Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),ATVs not issued ,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Hungary,UNITED KINGDOM,LONDON,0.0,0.0,0.0,1198.0,1126.0,604.0,53.6,6.0,66.0,5.509181969949917,1198.0,1132.0,66.0,5.509181969949917
Hungary,USA,"CHICAGO, IL",0.0,0.0,0.0,243.0,239.0,231.0,96.7,1.0,3.0,1.2345679012345678,243.0,240.0,3.0,1.2345679012345678
Hungary,USA,"LOS ANGELES, CA",0.0,0.0,0.0,239.0,235.0,42.0,17.9,1.0,3.0,1.2552301255230125,239.0,236.0,3.0,1.2552301255230125
Hungary,USA,"NEW YORK, NY",0.0,0.0,0.0,422.0,413.0,95.0,23.0,2.0,7.0,1.6587677725118484,422.0,415.0,7.0,1.6587677725118484
Hungary,USA,"WASHINGTON, DC",0.0,0.0,0.0,240.0,237.0,171.0,72.2,0.0,3.0,1.25,240.0,237.0,3.0,1.25
Hungary,UZBEKISTAN,TASHKENT,0.0,0.0,0.0,1351.0,951.0,117.0,12.3,2.0,398.0,29.459659511472985,1351.0,953.0,398.0,29.459659511472985
Hungary,VIETNAM,HANOI,0.0,0.0,0.0,812.0,735.0,81.0,11.0,2.0,75.0,9.236453201970443,812.0,737.0,75.0,9.236453201970443
Hungary,VIETNAM,HO CHI MINH,0.0,0.0,0.0,1616.0,1405.0,126.0,9.0,1.0,210.0,12.995049504950495,1616.0,1406.0,210.0,12.995049504950495
Iceland,CHINA,BEIJING,0.0,0.0,0.0,7343.0,6869.0,1604.0,23.4,323.0,151.0,2.0563802260656407,7343.0,6869.0,151.0,2.0563802260656407
Iceland,RUSSIAN FEDERATION,MOSCOW,0.0,0.0,0.0,1991.0,1987.0,1006.0,50.6,-1.0,5.0,0.25113008538422904,1991.0,1987.0,5.0,0.25113008538422904
Italy,AFGHANISTAN,KABUL,0.0,0.0,0.0,128.0,89.0,49.0,55.1,35.0,4.0,3.125,128.0,124.0,4.0,3.125
Italy,ALBANIA,TIRANA,0.0,0.0,0.0,461.0,424.0,321.0,75.7,15.0,22.0,4.772234273318872,461.0,439.0,22.0,4.772234273318872
Italy,ALBANIA,VLORE,0.0,0.0,0.0,90.0,89.0,86.0,96.6,0.0,1.0,1.1111111111111112,90.0,89.0,1.0,1.1111111111111112
Italy,ALGERIA,ALGIERS,0.0,0.0,0.0,23464.0,13958.0,8600.0,61.6,321.0,9185.0,39.14507330378452,23464.0,14279.0,9185.0,39.14507330378452
Italy,ANGOLA,LUANDA,0.0,0.0,0.0,1173.0,1036.0,238.0,23.0,0.0,137.0,11.679454390451834,1173.0,1036.0,137.0,11.679454390451834
Italy,ARGENTINA,BUENOS AIRES,2.0,2.0,0.0,101.0,99.0,33.0,33.3,1.0,1.0,0.9900990099009901,103.0,102.0,1.0,0.9708737864077669
Italy,ARMENIA,YEREVAN,0.0,0.0,0.0,8731.0,7582.0,2545.0,33.6,1.0,1148.0,13.148551139617453,8731.0,7583.0,1148.0,13.148551139617453
Italy,AUSTRALIA,ADELAIDE,0.0,0.0,0.0,176.0,165.0,11.0,6.7,0.0,11.0,6.25,176.0,165.0,11.0,6.25
Italy,AUSTRALIA,BRISBANE,0.0,0.0,0.0,449.0,443.0,46.0,10.4,0.0,6.0,1.3363028953229399,449.0,443.0,6.0,1.3363028953229399
Italy,AUSTRALIA,CANBERRA,0.0,0.0,0.0,182.0,178.0,62.0,34.8,0.0,4.0,2.197802197802198,182.0,178.0,4.0,2.197802197802198
Italy,AUSTRALIA,MELBOURNE,0.0,0.0,0.0,1666.0,1661.0,78.0,4.7,0.0,5.0,0.3001200480192077,1666.0,1661.0,5.0,0.3001200480192077
Italy,AUSTRALIA,PERTH,0.0,0.0,0.0,415.0,405.0,118.0,29.1,0.0,10.0,2.4096385542168677,415.0,405.0,10.0,2.4096385542168677
Italy,AUSTRALIA,SYDNEY,0.0,0.0,0.0,1394.0,1390.0,287.0,20.6,1.0,3.0,0.2152080344332855,1394.0,1391.0,3.0,0.2152080344332855
Italy,AUSTRIA,VIENNA,0.0,0.0,0.0,14.0,14.0,12.0,85.7,0.0,0.0,0.0,14.0,14.0,0.0,0.0
Italy,AZERBAIJAN,BAKU,0.0,0.0,0.0,9981.0,8796.0,4162.0,47.3,0.0,1185.0,11.872557859933874,9981.0,8796.0,1185.0,11.872557859933874
Italy,BAHRAIN,MANAMA,0.0,0.0,0.0,6013.0,5592.0,5414.0,96.8,42.0,379.0,6.303010144686512,6013.0,5634.0,379.0,6.303010144686512
Italy,BANGLADESH,DHAKA,0.0,0.0,0.0,6935.0,3774.0,2703.0,71.6,37.0,3124.0,45.046863734679164,6935.0,3811.0,3124.0,45.046863734679164
Italy,BELARUS,MINSK,0.0,0.0,0.0,23978.0,23835.0,14892.0,62.5,8.0,135.0,0.5630160980899157,23978.0,23843.0,135.0,0.5630160980899157
Italy,BELGIUM,BRUSSELS,0.0,0.0,0.0,2.0,2.0,1.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Italy,BOLIVIA,LA PAZ,0.0,0.0,0.0,1867.0,1310.0,252.0,19.2,1.0,556.0,29.780396357793247,1867.0,1311.0,556.0,29.780396357793247
Italy,BOSNIA AND HERZEGOVINA,SARAJEVO,0.0,0.0,0.0,234.0,219.0,219.0,100.0,0.0,15.0,6.41025641025641,234.0,219.0,15.0,6.41025641025641
Italy,BRAZIL,BELO HORIZONTE,0.0,0.0,0.0,11.0,11.0,5.0,45.5,0.0,0.0,0.0,11.0,11.0,0.0,0.0
Italy,BRAZIL,BRASILIA,0.0,0.0,0.0,17.0,14.0,4.0,28.6,0.0,3.0,17.647058823529413,17.0,14.0,3.0,17.647058823529413
Italy,BRAZIL,CURITIBA,0.0,0.0,0.0,31.0,31.0,31.0,100.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0
Italy,BRAZIL,PORTO ALEGRE,0.0,0.0,0.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Italy,BRAZIL,RECIFE,0.0,0.0,0.0,26.0,24.0,24.0,100.0,0.0,2.0,7.6923076923076925,26.0,24.0,2.0,7.6923076923076925
Italy,BRAZIL,RIO DE JANEIRO,3.0,3.0,0.0,73.0,53.0,20.0,37.7,0.0,20.0,27.397260273972602,76.0,56.0,20.0,26.31578947368421
Italy,BRAZIL,SAO PAULO,4.0,1.0,3.0,262.0,190.0,109.0,57.4,0.0,72.0,27.480916030534353,266.0,191.0,75.0,28.195488721804512
Italy,BULGARIA,SOFIA,3.0,3.0,0.0,416.0,410.0,154.0,37.6,0.0,6.0,1.4423076923076923,419.0,413.0,6.0,1.431980906921241
Italy,CAMEROON,YAONDE,0.0,0.0,0.0,3658.0,2137.0,522.0,24.4,2.0,1519.0,41.52542372881356,3658.0,2139.0,1519.0,41.52542372881356
Italy,CANADA,MONTREAL,0.0,0.0,0.0,851.0,803.0,797.0,99.3,0.0,48.0,5.64042303172738,851.0,803.0,48.0,5.64042303172738
Italy,CANADA,OTTAWA,0.0,0.0,0.0,223.0,219.0,219.0,100.0,0.0,4.0,1.7937219730941705,223.0,219.0,4.0,1.7937219730941705
Italy,CANADA,TORONTO,0.0,0.0,0.0,1818.0,1801.0,1780.0,98.8,0.0,17.0,0.935093509350935,1818.0,1801.0,17.0,0.935093509350935
Italy,CANADA,VANCOUVER,0.0,0.0,0.0,1020.0,1011.0,252.0,24.9,2.0,7.0,0.6862745098039216,1020.0,1013.0,7.0,0.6862745098039216
Italy,CHILE,SANTIAGO DE CHILE,0.0,0.0,0.0,214.0,209.0,197.0,94.3,0.0,5.0,2.336448598130841,214.0,209.0,5.0,2.336448598130841
Italy,CHINA,BEIJING,0.0,0.0,0.0,203064.0,198433.0,77993.0,39.3,3.0,4628.0,2.279084426584722,203064.0,198436.0,4628.0,2.279084426584722
Italy,CHINA,CHONGQING,0.0,0.0,0.0,50912.0,50236.0,15800.0,31.5,0.0,676.0,1.3277812696417348,50912.0,50236.0,676.0,1.3277812696417348
Italy,CHINA,GUANGZHOU (CANTON),0.0,0.0,0.0,87028.0,83799.0,82386.0,98.3,0.0,3229.0,3.7103001332904353,87028.0,83799.0,3229.0,3.7103001332904353
Italy,CHINA,SHANGHAI,0.0,0.0,0.0,134713.0,129361.0,67685.0,52.3,3.0,5349.0,3.970663558825058,134713.0,129364.0,5349.0,3.970663558825058
Italy,COLOMBIA,BOGOTA,0.0,0.0,0.0,59.0,57.0,54.0,94.7,0.0,2.0,3.389830508474576,59.0,57.0,2.0,3.389830508474576
Italy,CONGO (BRAZZAVILLE),BRAZZAVILLE,0.0,0.0,0.0,1985.0,893.0,165.0,18.5,1.0,1091.0,54.962216624685134,1985.0,894.0,1091.0,54.962216624685134
Italy,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,0.0,0.0,0.0,1129.0,807.0,603.0,74.7,187.0,135.0,11.95748449955713,1129.0,994.0,135.0,11.95748449955713
Italy,COSTA RICA,SAN JOSE,0.0,0.0,0.0,15.0,15.0,12.0,80.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0
Italy,COTE D'IVOIRE,ABIDJAN ,0.0,0.0,0.0,2616.0,1503.0,764.0,50.8,9.0,1104.0,42.201834862385326,2616.0,1512.0,1104.0,42.201834862385326
Italy,CROATIA,ZAGREB,0.0,0.0,0.0,567.0,563.0,499.0,88.6,0.0,4.0,0.7054673721340388,567.0,563.0,4.0,0.7054673721340388
Italy,CUBA,HAVANA,0.0,0.0,0.0,13280.0,12128.0,6341.0,52.3,11.0,1141.0,8.591867469879517,13280.0,12139.0,1141.0,8.591867469879517
Italy,CYPRUS,NICOSIA,1.0,1.0,0.0,1011.0,958.0,338.0,35.3,0.0,53.0,5.242334322453017,1012.0,959.0,53.0,5.237154150197629
Italy,CZECH REPUBLIC,PRAGUE,0.0,0.0,0.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Italy,DENMARK,COPENHAGEN,0.0,0.0,0.0,3.0,3.0,1.0,33.3,0.0,0.0,0.0,3.0,3.0,0.0,0.0
Italy,ECUADOR,QUITO,0.0,0.0,0.0,5894.0,4534.0,4532.0,100.0,0.0,1360.0,23.07431286053614,5894.0,4534.0,1360.0,23.07431286053614
Italy,EGYPT,CAIRO,0.0,0.0,0.0,20200.0,15145.0,10686.0,70.6,102.0,4953.0,24.519801980198018,20200.0,15247.0,4953.0,24.519801980198018
Italy,EL SALVADOR,SAN SALVADOR,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Italy,ERITREA,ASMARA,1.0,1.0,0.0,2155.0,1275.0,701.0,55.0,6.0,874.0,40.556844547563806,2156.0,1282.0,874.0,40.53803339517626
Italy,ETHIOPIA,ADDIS ABEBA,1.0,1.0,0.0,3900.0,3188.0,948.0,29.7,444.0,268.0,6.871794871794871,3901.0,3633.0,268.0,6.8700333247885155
Italy,FINLAND,HELSINKI,0.0,0.0,0.0,11.0,10.0,6.0,60.0,0.0,1.0,9.090909090909092,11.0,10.0,1.0,9.090909090909092
Italy,FRANCE,PARIS,0.0,0.0,0.0,42.0,39.0,26.0,66.7,2.0,1.0,2.380952380952381,42.0,41.0,1.0,2.380952380952381
Italy,GABON,LIBREVILLE,0.0,0.0,0.0,1263.0,798.0,232.0,29.1,0.0,465.0,36.81710213776722,1263.0,798.0,465.0,36.81710213776722
Italy,GEORGIA,TBILISSI,0.0,0.0,0.0,401.0,366.0,240.0,65.6,1.0,34.0,8.478802992518704,401.0,367.0,34.0,8.478802992518704
Italy,GERMANY,FRANKFURT/MAIN,0.0,0.0,0.0,23.0,23.0,22.0,95.7,0.0,0.0,0.0,23.0,23.0,0.0,0.0
Italy,GHANA,ACCRA,0.0,0.0,0.0,5806.0,3542.0,1548.0,43.7,3.0,2261.0,38.94247330347916,5806.0,3545.0,2261.0,38.94247330347916
Italy,GREECE,ATHENS,0.0,0.0,0.0,26.0,24.0,24.0,100.0,0.0,2.0,7.6923076923076925,26.0,24.0,2.0,7.6923076923076925
Italy,GUATEMALA,GUATEMALA CITY,0.0,0.0,0.0,11.0,11.0,10.0,90.9,0.0,0.0,0.0,11.0,11.0,0.0,0.0
Italy,HONG KONG S.A.R.,HONG KONG,0.0,0.0,0.0,1795.0,1786.0,313.0,17.5,1.0,8.0,0.44568245125348194,1795.0,1787.0,8.0,0.44568245125348194
Italy,HUNGARY,BUDAPEST,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Italy,INDIA,KOLKATA,0.0,0.0,0.0,8938.0,7927.0,7913.0,99.8,0.0,1011.0,11.311255314388006,8938.0,7927.0,1011.0,11.311255314388006
Italy,INDIA,MUMBAI,0.0,0.0,0.0,57663.0,53673.0,51422.0,95.8,1.0,3989.0,6.917780899363543,57663.0,53674.0,3989.0,6.917780899363543
Italy,INDIA,NEW DELHI,0.0,0.0,0.0,39029.0,31094.0,28466.0,91.5,110.0,7825.0,20.049194188936433,39029.0,31204.0,7825.0,20.049194188936433
Italy,INDONESIA,JAKARTA,0.0,0.0,0.0,24414.0,24171.0,21108.0,87.3,1.0,242.0,0.9912345375604161,24414.0,24172.0,242.0,0.9912345375604161
Italy,IRAN,TEHERAN,28.0,25.0,3.0,32777.0,23719.0,6976.0,29.4,110.0,8948.0,27.29963083869787,32805.0,23854.0,8951.0,27.285474775186707
Italy,IRAQ,BAGHDAD,0.0,0.0,0.0,4662.0,2998.0,1095.0,36.5,111.0,1553.0,33.311883311883314,4662.0,3109.0,1553.0,33.311883311883314
Italy,IRAQ,ERBIL,0.0,0.0,0.0,2031.0,964.0,358.0,37.1,72.0,995.0,48.99064500246184,2031.0,1036.0,995.0,48.99064500246184
Italy,IRELAND,DUBLIN,0.0,0.0,0.0,1263.0,1200.0,721.0,60.1,18.0,45.0,3.5629453681710213,1263.0,1218.0,45.0,3.5629453681710213
Italy,ISRAEL,JERUSALEM,0.0,0.0,0.0,2997.0,2853.0,456.0,16.0,35.0,109.0,3.63697030363697,2997.0,2888.0,109.0,3.63697030363697
Italy,ISRAEL,TEL AVIV,0.0,0.0,0.0,696.0,663.0,279.0,42.1,1.0,32.0,4.597701149425287,696.0,664.0,32.0,4.597701149425287
Italy,JAPAN,OSAKA,0.0,0.0,0.0,576.0,576.0,576.0,100.0,0.0,0.0,0.0,576.0,576.0,0.0,0.0
Italy,JAPAN,TOKYO,0.0,0.0,0.0,1973.0,1967.0,1967.0,100.0,2.0,4.0,0.20273694880892043,1973.0,1969.0,4.0,0.20273694880892043
Italy,JORDAN,AMMAN,0.0,0.0,0.0,7271.0,5624.0,5360.0,95.3,294.0,1353.0,18.608169440242055,7271.0,5918.0,1353.0,18.608169440242055
Italy,KAZAKHSTAN,ASTANA,0.0,0.0,0.0,20009.0,18824.0,3369.0,17.9,0.0,1185.0,5.922334949272827,20009.0,18824.0,1185.0,5.922334949272827
Italy,KENYA,NAIROBI,0.0,0.0,0.0,4218.0,3753.0,1772.0,47.2,37.0,428.0,10.146989094357515,4218.0,3790.0,428.0,10.146989094357515
Italy,KOSOVO,PRISTINA,0.0,0.0,0.0,5657.0,4366.0,4086.0,93.6,0.0,1291.0,22.82128336574156,5657.0,4366.0,1291.0,22.82128336574156
Italy,KUWAIT,KUWAIT,0.0,0.0,0.0,10380.0,9933.0,8911.0,89.7,2.0,445.0,4.2870905587668595,10380.0,9935.0,445.0,4.2870905587668595
Italy,LEBANON,BEIRUT,2.0,2.0,0.0,22932.0,20297.0,15059.0,74.2,645.0,1990.0,8.677830106401535,22934.0,20944.0,1990.0,8.677073340891253
Italy,LIBYA,TRIPOLI,0.0,0.0,0.0,9849.0,7019.0,5826.0,83.0,449.0,2381.0,24.175043151588994,9849.0,7468.0,2381.0,24.175043151588994
Italy,LITHUANIA,VILNIUS,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Italy,MALAYSIA,KUALA LUMPUR,0.0,0.0,0.0,578.0,533.0,259.0,48.6,0.0,45.0,7.7854671280276815,578.0,533.0,45.0,7.7854671280276815
Italy,MALTA,VALETTA,0.0,0.0,0.0,21.0,6.0,2.0,33.3,15.0,0.0,0.0,21.0,21.0,0.0,0.0
Italy,MEXICO,MEXICO CITY,0.0,0.0,0.0,207.0,206.0,203.0,98.5,0.0,1.0,0.4830917874396135,207.0,206.0,1.0,0.4830917874396135
Italy,MOLDOVA,CHISINAU,0.0,0.0,0.0,264.0,238.0,195.0,81.9,0.0,26.0,9.848484848484848,264.0,238.0,26.0,9.848484848484848
Italy,MONGOLIA,ULAN BATOR,0.0,0.0,0.0,925.0,809.0,137.0,16.9,0.0,116.0,12.54054054054054,925.0,809.0,116.0,12.54054054054054
Italy,MONTENEGRO,PODGORICA,0.0,0.0,0.0,216.0,211.0,202.0,95.7,0.0,5.0,2.314814814814815,216.0,211.0,5.0,2.314814814814815
Italy,MOROCCO,CASABLANCA,0.0,0.0,0.0,17232.0,13287.0,10633.0,80.0,37.0,3908.0,22.678737233054783,17232.0,13324.0,3908.0,22.678737233054783
Italy,MOROCCO,RABAT,0.0,0.0,0.0,4042.0,3361.0,2017.0,60.0,1.0,680.0,16.82335477486393,4042.0,3362.0,680.0,16.82335477486393
Italy,MOZAMBIQUE,MAPUTO,0.0,0.0,0.0,1014.0,956.0,68.0,7.1,0.0,58.0,5.719921104536489,1014.0,956.0,58.0,5.719921104536489
Italy,MYANMAR,YANGON,0.0,0.0,0.0,2274.0,2187.0,366.0,16.7,0.0,87.0,3.825857519788918,2274.0,2187.0,87.0,3.825857519788918
Italy,NETHERLANDS,THE HAGUE,1.0,1.0,0.0,3.0,3.0,2.0,66.7,0.0,0.0,0.0,4.0,4.0,0.0,0.0
Italy,NEW ZEALAND,WELLINGTON,0.0,0.0,0.0,517.0,517.0,121.0,23.4,0.0,0.0,0.0,517.0,517.0,0.0,0.0
Italy,NICARAGUA,MANAGUA,0.0,0.0,0.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Italy,NIGERIA,ABUJA,0.0,0.0,0.0,820.0,742.0,589.0,79.4,70.0,8.0,0.975609756097561,820.0,812.0,8.0,0.975609756097561
Italy,NIGERIA,LAGOS,1.0,1.0,0.0,12475.0,6665.0,4058.0,60.9,52.0,5758.0,46.1563126252505,12476.0,6718.0,5758.0,46.152613016992625
Italy,NORTH MACEDONIA,SKOPJE,0.0,0.0,0.0,242.0,241.0,173.0,71.8,1.0,0.0,0.0,242.0,242.0,0.0,0.0
Italy,OMAN,MUSCAT,0.0,0.0,0.0,2646.0,2530.0,2301.0,90.9,3.0,113.0,4.270597127739985,2646.0,2533.0,113.0,4.270597127739985
Italy,PAKISTAN,ISLAMABAD,0.0,0.0,0.0,6695.0,3635.0,1213.0,33.4,519.0,2541.0,37.953696788648244,6695.0,4154.0,2541.0,37.953696788648244
Italy,PAKISTAN,KARACHI,3.0,1.0,2.0,9006.0,7100.0,965.0,13.6,2.0,1904.0,21.14146124805685,9009.0,7103.0,1906.0,21.156621156621156
Italy,PANAMA,PANAMA CITY,0.0,0.0,0.0,5700.0,4175.0,1835.0,44.0,0.0,1525.0,26.75438596491228,5700.0,4175.0,1525.0,26.75438596491228
Italy,PARAGUAY,ASUNCION,0.0,0.0,0.0,26.0,26.0,16.0,61.5,0.0,0.0,0.0,26.0,26.0,0.0,0.0
Italy,PERU,LIMA,0.0,0.0,0.0,64.0,61.0,61.0,100.0,0.0,3.0,4.6875,64.0,61.0,3.0,4.6875
Italy,PHILIPPINES,MANILA,0.0,0.0,0.0,23478.0,20925.0,16081.0,76.9,0.0,2553.0,10.874009711219013,23478.0,20925.0,2553.0,10.874009711219013
Italy,POLAND,WARSAW,0.0,0.0,0.0,4.0,4.0,2.0,50.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
Italy,PORTUGAL,LISBON,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Italy,QATAR,DOHA,0.0,0.0,0.0,6183.0,5705.0,4187.0,73.4,8.0,470.0,7.6014879508329285,6183.0,5713.0,470.0,7.6014879508329285
Italy,ROMANIA,BUCHAREST,0.0,0.0,0.0,413.0,350.0,126.0,36.0,0.0,63.0,15.254237288135593,413.0,350.0,63.0,15.254237288135593
Italy,RUSSIAN FEDERATION,MOSCOW,0.0,0.0,0.0,463224.0,454474.0,444270.0,97.8,30.0,8720.0,1.882458594546051,463224.0,454504.0,8720.0,1.882458594546051
Italy,RUSSIAN FEDERATION,ST. PETERSBURG,0.0,0.0,0.0,36141.0,35702.0,34340.0,96.2,79.0,360.0,0.9960986137627624,36141.0,35781.0,360.0,0.9960986137627624
Italy,SAN MARINO,SAN MARINO,0.0,0.0,0.0,437.0,435.0,425.0,97.7,0.0,2.0,0.4576659038901602,437.0,435.0,2.0,0.4576659038901602
Italy,SAUDI ARABIA,JEDDAH,0.0,0.0,0.0,12213.0,11291.0,11011.0,97.5,0.0,922.0,7.549332678293622,12213.0,11291.0,922.0,7.549332678293622
Italy,SAUDI ARABIA,RIYADH,0.0,0.0,0.0,22800.0,20903.0,18641.0,89.2,26.0,1871.0,8.206140350877194,22800.0,20929.0,1871.0,8.206140350877194
Italy,SENEGAL,DAKAR,0.0,0.0,0.0,5757.0,3485.0,1912.0,54.9,5.0,2267.0,39.3781483411499,5757.0,3490.0,2267.0,39.3781483411499
Italy,SERBIA,BELGRADE,0.0,0.0,0.0,419.0,409.0,353.0,86.3,1.0,9.0,2.1479713603818613,419.0,410.0,9.0,2.1479713603818613
Italy,SINGAPORE,SINGAPORE,0.0,0.0,0.0,3559.0,3464.0,2919.0,84.3,0.0,95.0,2.6692891261590335,3559.0,3464.0,95.0,2.6692891261590335
Italy,SOUTH AFRICA,CAPE TOWN,0.0,0.0,0.0,13235.0,12707.0,12634.0,99.4,0.0,528.0,3.98942198715527,13235.0,12707.0,528.0,3.98942198715527
Italy,SOUTH AFRICA,JOHANNESBURG,0.0,0.0,0.0,29453.0,28750.0,28693.0,99.8,0.0,703.0,2.386853631209045,29453.0,28750.0,703.0,2.386853631209045
Italy,SOUTH AFRICA,PRETORIA,0.0,0.0,0.0,1610.0,1573.0,1561.0,99.2,0.0,37.0,2.298136645962733,1610.0,1573.0,37.0,2.298136645962733
Italy,SOUTH KOREA,SEOUL,0.0,0.0,0.0,533.0,528.0,35.0,6.6,0.0,5.0,0.9380863039399625,533.0,528.0,5.0,0.9380863039399625
Italy,SPAIN,MADRID,0.0,0.0,0.0,22.0,20.0,14.0,70.0,0.0,2.0,9.090909090909092,22.0,20.0,2.0,9.090909090909092
Italy,SRI LANKA,COLOMBO,1.0,1.0,0.0,5859.0,4476.0,1133.0,25.3,2.0,1381.0,23.57057518347841,5860.0,4479.0,1381.0,23.56655290102389
Italy,SUDAN,KHARTOUM,1.0,1.0,0.0,1211.0,1037.0,234.0,22.6,41.0,133.0,10.982658959537572,1212.0,1079.0,133.0,10.973597359735972
Italy,SWEDEN,STOCKHOLM,0.0,0.0,0.0,27.0,25.0,25.0,100.0,1.0,1.0,3.7037037037037033,27.0,26.0,1.0,3.7037037037037033
Italy,SWITZERLAND,GENEVA,0.0,0.0,0.0,4.0,4.0,3.0,75.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
Italy,SWITZERLAND,LUGANO,0.0,0.0,0.0,3.0,3.0,3.0,100.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
Italy,TAIWAN,TAIPEI,0.0,0.0,0.0,200.0,197.0,186.0,94.4,0.0,3.0,1.5,200.0,197.0,3.0,1.5
Italy,TANZANIA,DAR ES SALAAM,0.0,0.0,0.0,1901.0,1420.0,196.0,13.8,0.0,481.0,25.30247238295634,1901.0,1420.0,481.0,25.30247238295634
Italy,THAILAND,BANGKOK,0.0,0.0,0.0,37391.0,36571.0,8124.0,22.2,4.0,816.0,2.182343344655131,37391.0,36575.0,816.0,2.182343344655131
Italy,TUNISIA,TUNIS,0.0,0.0,0.0,12415.0,9868.0,6784.0,68.7,28.0,2519.0,20.289971808296418,12415.0,9896.0,2519.0,20.289971808296418
Italy,TURKEY,ANKARA,0.0,0.0,0.0,11358.0,10354.0,10195.0,98.5,3.0,1001.0,8.813171332981158,11358.0,10357.0,1001.0,8.813171332981158
Italy,TURKEY,ISTANBUL,0.0,0.0,0.0,85165.0,80474.0,64779.0,80.5,91.0,4600.0,5.401279868490577,85165.0,80565.0,4600.0,5.401279868490577
Italy,TURKEY,IZMIR,0.0,0.0,0.0,17101.0,16409.0,9841.0,60.0,0.0,692.0,4.0465469855564,17101.0,16409.0,692.0,4.0465469855564
Italy,TURKMENISTAN,ASHGABAT,0.0,0.0,0.0,1089.0,1083.0,568.0,52.4,0.0,6.0,0.5509641873278237,1089.0,1083.0,6.0,0.5509641873278237
Italy,UGANDA,KAMPALA,0.0,0.0,0.0,2545.0,2032.0,1491.0,73.4,3.0,510.0,20.039292730844792,2545.0,2035.0,510.0,20.039292730844792
Italy,UKRAINE,KYIV,0.0,0.0,0.0,3611.0,3471.0,1400.0,40.3,1.0,139.0,3.8493492107449465,3611.0,3472.0,139.0,3.8493492107449465
Italy,UNITED ARAB EMIRATES,ABU DHABI,0.0,0.0,0.0,6041.0,4910.0,2082.0,42.4,1.0,1130.0,18.705512332395298,6041.0,4911.0,1130.0,18.705512332395298
Italy,UNITED ARAB EMIRATES,DUBAI,5.0,4.0,1.0,29907.0,23196.0,11353.0,48.9,2.0,6709.0,22.432875246597785,29912.0,23202.0,6710.0,22.432468574485156
Italy,UNITED KINGDOM,EDINBURGH,0.0,0.0,0.0,825.0,811.0,54.0,6.7,1.0,13.0,1.575757575757576,825.0,812.0,13.0,1.575757575757576
Italy,UNITED KINGDOM,LONDON,0.0,0.0,0.0,19597.0,19296.0,18513.0,95.9,3.0,298.0,1.5206409144256774,19597.0,19299.0,298.0,1.5206409144256774
Italy,URUGUAY,MONTEVIDEO,2.0,2.0,0.0,24.0,24.0,9.0,37.5,0.0,0.0,0.0,26.0,26.0,0.0,0.0
Italy,USA,"BOSTON, MA",1.0,1.0,0.0,1219.0,1213.0,261.0,21.5,0.0,6.0,0.4922067268252666,1220.0,1214.0,6.0,0.49180327868852464
Italy,USA,"CHICAGO, IL",0.0,0.0,0.0,1295.0,1285.0,1240.0,96.5,1.0,9.0,0.6949806949806949,1295.0,1286.0,9.0,0.6949806949806949
Italy,USA,"DETROIT, MI",0.0,0.0,0.0,1092.0,1084.0,1083.0,99.9,0.0,8.0,0.7326007326007326,1092.0,1084.0,8.0,0.7326007326007326
Italy,USA,"HOUSTON, TX",0.0,0.0,0.0,1672.0,1651.0,1145.0,69.4,0.0,21.0,1.255980861244019,1672.0,1651.0,21.0,1.255980861244019
Italy,USA,"LOS ANGELES, CA",0.0,0.0,0.0,1502.0,1478.0,443.0,30.0,0.0,24.0,1.5978695073235687,1502.0,1478.0,24.0,1.5978695073235687
Italy,USA,"MIAMI, FL",0.0,0.0,0.0,1767.0,1699.0,1125.0,66.2,0.0,68.0,3.8483305036785516,1767.0,1699.0,68.0,3.8483305036785516
Italy,USA,"NEW YORK, NY",0.0,0.0,0.0,3265.0,3197.0,415.0,13.0,2.0,66.0,2.021439509954058,3265.0,3199.0,66.0,2.021439509954058
