sch_state,consulate_country,consulate_city,applications,uniform_visas_issued,mevs_issued,mevs_share,rejected,rejection_rate,decisions
Austria,THAILAND,BANGKOK,21487.0,21174.0,21173,100.00%,313.0,0.014566947456601666,21487.0
Austria,TUNISIA,TUNIS,1945.0,1415.0,619,43.70%,530.0,0.27249357326478146,1945.0
Austria,TURKEY,ANKARA,5306.0,5300.0,562,10.60%,6.0,0.0011307953260459858,5306.0
Austria,TURKEY,ISTANBUL,13195.0,10813.0,7983,73.80%,2382.0,0.18052292535051156,13195.0
Austria,UKRAINE,KYIV,1693.0,1640.0,1092,66.60%,53.0,0.03130537507383343,1693.0
Austria,UNITED ARAB EMIRATES,ABU DHABI,4582.0,3707.0,2723,73.50%,875.0,0.19096464426014842,4582.0
Austria,UNITED KINGDOM,LONDON,3128.0,2940.0,1401,47.70%,188.0,0.06010230179028133,3128.0
Austria,USA,"LOS ANGELES, CA",738.0,711.0,709,99.70%,27.0,0.036585365853658534,738.0
Austria,USA,"NEW YORK, NY",1005.0,950.0,628,66.10%,55.0,0.05472636815920398,1005.0
Austria,USA,"WASHINGTON, DC",472.0,460.0,460,100.00%,12.0,0.025423728813559324,472.0
Austria,VENEZUELA,CARACAS,4.0,4.0,2,50.00%,0.0,0.0,4.0
Austria,VIETNAM,HANOI,1983.0,1887.0,640,33.90%,96.0,0.048411497730711045,1983.0
Belgium,ALGERIA,ALGIERS,6594.0,3802.0,2007,52.80%,2480.0,0.3947787328876154,6282.0
Belgium,ANGOLA,LUANDA,1908.0,1045.0,554,53.00%,788.0,0.4298963447899618,1833.0
Belgium,ARGENTINA,BUENOS AIRES,12.0,10.0,6,60.00%,0.0,0.0,10.0
Belgium,AUSTRALIA,CANBERRA,260.0,231.0,75,32.50%,7.0,0.029411764705882353,238.0
Belgium,AUSTRIA,VIENNA,1.0,1.0,1,100.00%,0.0,0.0,1.0
Belgium,BELGIUM,BRUSSELS,26.0,23.0,10,43.50%,0.0,0.0,23.0
Belgium,BRAZIL,SAO PAULO,38.0,23.0,16,69.60%,7.0,0.23333333333333334,30.0
Belgium,BULGARIA,SOFIA,83.0,72.0,38,52.80%,4.0,0.05263157894736842,76.0
Belgium,BURKINA FASO,OUAGADOUGOU,2789.0,2064.0,906,43.90%,550.0,0.21040550879877581,2614.0
Belgium,BURUNDI,BUJUMBURA,3543.0,2320.0,323,13.90%,796.0,0.2554557124518614,3116.0
Belgium,CAMEROON,YAONDE,4349.0,2493.0,967,38.80%,1540.0,0.3818497396479048,4033.0
Belgium,CANADA,MONTREAL,745.0,519.0,96,18.50%,138.0,0.2100456621004566,657.0
Belgium,CHILE,SANTIAGO DE CHILE,67.0,44.0,32,72.70%,9.0,0.16981132075471697,53.0
Belgium,CHINA,BEIJING,26521.0,25595.0,10276,40.10%,777.0,0.02946306688912483,26372.0
Belgium,CHINA,GUANGZHOU (CANTON),5685.0,5476.0,1236,22.60%,192.0,0.03387438249823571,5668.0
Belgium,CHINA,SHANGHAI,7365.0,7045.0,2224,31.60%,225.0,0.030949105914718018,7270.0
Belgium,COLOMBIA,BOGOTA,16.0,14.0,12,85.70%,0.0,0.0,14.0
Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,2289.0,1634.0,482,29.50%,1643.0,0.5013732072017089,3277.0
Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,83.0,59.0,16,27.10%,72.0,0.549618320610687,131.0
Belgium,COTE D'IVOIRE,ABIDJAN ,2688.0,1624.0,705,43.40%,984.0,0.3773006134969325,2608.0
Belgium,CROATIA,ZAGREB,21.0,16.0,8,50.00%,2.0,0.1111111111111111,18.0
Belgium,CUBA,HAVANA,1413.0,1127.0,1038,92.10%,174.0,0.1337432744043044,1301.0
Belgium,CZECH REPUBLIC,PRAGUE,1.0,0.0,0,0,1.0,1.0,1.0
Belgium,EGYPT,CAIRO,3235.0,1946.0,464,23.80%,1111.0,0.36342819757932615,3057.0
Belgium,ETHIOPIA,ADDIS ABEBA,1104.0,858.0,450,52.40%,149.0,0.14796425024826215,1007.0
Belgium,FINLAND,HELSINKI,5.0,4.0,1,25.00%,0.0,0.0,4.0
Belgium,FRANCE,PARIS,6.0,5.0,2,40.00%,0.0,0.0,5.0
Belgium,GERMANY,BERLIN,4.0,3.0,2,66.70%,1.0,0.25,4.0
Belgium,GREECE,ATHENS,8.0,7.0,3,42.90%,0.0,0.0,7.0
Belgium,HONG KONG S.A.R.,HONG KONG,622.0,588.0,420,71.40%,23.0,0.03764320785597381,611.0
Belgium,HUNGARY,BUDAPEST,3.0,3.0,2,66.70%,0.0,0.0,3.0
Belgium,INDIA,MUMBAI,19162.0,18360.0,15892,86.60%,551.0,0.029136481412934272,18911.0
Belgium,INDIA,NEW DELHI,7117.0,6052.0,4029,66.60%,888.0,0.12795389048991354,6940.0
Belgium,INDONESIA,JAKARTA,238.0,224.0,72,32.10%,2.0,0.008849557522123894,226.0
Belgium,IRAN,TEHERAN,6167.0,3860.0,796,20.60%,1883.0,0.327877415984677,5743.0
Belgium,IRELAND,DUBLIN,763.0,682.0,264,38.70%,10.0,0.014450867052023121,692.0
Belgium,ISRAEL,JERUSALEM,741.0,429.0,76,17.70%,267.0,0.38362068965517243,696.0
Belgium,ISRAEL,TEL AVIV,97.0,86.0,42,48.80%,12.0,0.12244897959183673,98.0
Belgium,ITALY,ROME,3.0,3.0,2,66.70%,0.0,0.0,3.0
Belgium,JAMAICA,KINGSTON,1083.0,885.0,312,35.30%,70.0,0.07329842931937172,955.0
Belgium,JAPAN,TOKYO,338.0,311.0,183,58.80%,15.0,0.046012269938650305,326.0
Belgium,JORDAN,AMMAN,1864.0,1168.0,441,37.80%,267.0,0.18606271777003483,1435.0
Belgium,KENYA,NAIROBI,1609.0,1301.0,511,39.30%,208.0,0.13783962889330684,1509.0
Belgium,KUWAIT,KUWAIT,2153.0,1901.0,1642,86.40%,183.0,0.08781190019193857,2084.0
Belgium,LEBANON,BEIRUT,3289.0,2175.0,728,33.50%,920.0,0.2972536348949919,3095.0
Belgium,MALAYSIA,KUALA LUMPUR,127.0,116.0,35,30.20%,18.0,0.13432835820895522,134.0
Belgium,MEXICO,MEXICO CITY,56.0,51.0,35,68.60%,0.0,0.0,51.0
Belgium,MOROCCO,CASABLANCA,12886.0,5809.0,3066,52.80%,6111.0,0.5126677852348993,11920.0
Belgium,MOROCCO,RABAT,552.0,513.0,483,94.20%,3.0,0.005813953488372093,516.0
Belgium,NETHERLANDS,THE HAGUE,9.0,5.0,3,60.00%,3.0,0.375,8.0
Belgium,NIGERIA,ABUJA,3750.0,1898.0,1519,80.00%,1756.0,0.48056923918992883,3654.0
Belgium,PAKISTAN,ISLAMABAD,2779.0,1177.0,225,19.10%,1354.0,0.5349664164361912,2531.0
Belgium,PANAMA,PANAMA CITY,11.0,8.0,4,50.00%,3.0,0.2727272727272727,11.0
Belgium,PERU,LIMA,106.0,89.0,58,65.20%,11.0,0.11,100.0
Belgium,PHILIPPINES,MANILA,5879.0,5261.0,2322,44.10%,501.0,0.08694897604998264,5762.0
Belgium,POLAND,WARSAW,10.0,5.0,1,20.00%,3.0,0.375,8.0
Belgium,PORTUGAL,LISBON,5.0,5.0,0,0,0.0,0.0,5.0
Belgium,QATAR,DOHA,1315.0,1132.0,742,65.50%,103.0,0.08340080971659919,1235.0
Belgium,ROMANIA,BUCHAREST,84.0,63.0,31,49.20%,20.0,0.24096385542168675,83.0
Belgium,RUSSIAN FEDERATION,MOSCOW,13838.0,13213.0,7793,59.00%,465.0,0.03399619827460155,13678.0
Belgium,RWANDA,KIGALI,9181.0,7056.0,1960,27.80%,1712.0,0.19525547445255476,8768.0
Belgium,SAUDI ARABIA,RIYADH,1807.0,1509.0,905,60.00%,255.0,0.1445578231292517,1764.0
Belgium,SENEGAL,DAKAR,3431.0,1379.0,468,33.90%,1890.0,0.5781584582441114,3269.0
Belgium,SERBIA,BELGRADE,53.0,42.0,35,83.30%,9.0,0.17647058823529413,51.0
Belgium,SINGAPORE,SINGAPORE,915.0,888.0,347,39.10%,5.0,0.005599104143337066,893.0
Belgium,SOUTH AFRICA,CAPE TOWN,1812.0,1750.0,1591,90.90%,39.0,0.021799888205701508,1789.0
Belgium,SOUTH AFRICA,JOHANNESBURG,3743.0,3512.0,2009,57.20%,173.0,0.04694708276797829,3685.0
Belgium,SOUTH KOREA,SEOUL,126.0,90.0,21,23.30%,34.0,0.27419354838709675,124.0
Belgium,SPAIN,MADRID,62.0,57.0,13,22.80%,6.0,0.09523809523809523,63.0
Belgium,SWITZERLAND,BERN,6.0,3.0,1,33.30%,0.0,0.0,3.0
Belgium,TAIWAN,TAIPEI,45.0,38.0,37,97.40%,1.0,0.02564102564102564,39.0
Belgium,TANZANIA,DAR ES SALAAM,807.0,715.0,94,13.10%,56.0,0.07263294422827497,771.0
Belgium,THAILAND,BANGKOK,5936.0,5369.0,660,12.30%,513.0,0.08721523291397484,5882.0
Belgium,TUNISIA,TUNIS,3623.0,2442.0,1113,45.60%,1113.0,0.3130801687763713,3555.0
Belgium,TURKEY,ANKARA,1881.0,1137.0,336,29.60%,1097.0,0.491047448522829,2234.0
Belgium,TURKEY,ISTANBUL,8463.0,6313.0,3575,56.60%,1200.0,0.15972314654598696,7513.0
Belgium,UGANDA,KAMPALA,905.0,736.0,317,43.10%,114.0,0.13411764705882354,850.0
Belgium,UKRAINE,KYIV,499.0,434.0,234,53.90%,38.0,0.08050847457627118,472.0
Belgium,UNITED ARAB EMIRATES,ABU DHABI,4371.0,3363.0,2747,81.70%,759.0,0.1841339155749636,4122.0
Belgium,UNITED KINGDOM,LONDON,7124.0,6138.0,3949,64.30%,353.0,0.05438299183484825,6491.0
Belgium,USA,"ATLANTA, GA",673.0,581.0,145,25.00%,2.0,0.003430531732418525,583.0
Belgium,USA,"LOS ANGELES, CA",1237.0,1211.0,337,27.80%,1.0,0.0008250825082508251,1212.0
Belgium,USA,"NEW YORK, NY",1852.0,914.0,343,37.50%,11.0,0.011891891891891892,925.0
Belgium,USA,"WASHINGTON, DC",858.0,733.0,621,84.70%,35.0,0.045572916666666664,768.0
Belgium,VIETNAM,HANOI,1989.0,1755.0,985,56.10%,190.0,0.09768637532133675,1945.0
Czech Republic,AFGHANISTAN,KABUL,67.0,64.0,26,40.60%,1.0,0.015384615384615385,65.0
Czech Republic,ALBANIA,TIRANA,15.0,11.0,5,45.50%,4.0,0.26666666666666666,15.0
Czech Republic,ALGERIA,ALGIERS,996.0,537.0,168,31.30%,458.0,0.46030150753768845,995.0
Czech Republic,ARGENTINA,BUENOS AIRES,2.0,2.0,2,100.00%,0.0,0.0,2.0
Czech Republic,ARMENIA,YEREVAN,3166.0,2635.0,602,22.80%,531.0,0.16771951989892608,3166.0
Czech Republic,AUSTRALIA,SYDNEY,405.0,404.0,148,36.60%,1.0,0.0024691358024691358,405.0
Czech Republic,AUSTRIA,VIENNA,8.0,8.0,6,75.00%,0.0,0.0,8.0
Czech Republic,AZERBAIJAN,BAKU,4949.0,4695.0,564,12.00%,245.0,0.04959514170040486,4940.0
Czech Republic,BELARUS,MINSK,12749.0,12744.0,6636,52.10%,5.0,0.00039218762255863204,12749.0
Czech Republic,BELGIUM,BRUSSELS,2.0,2.0,1,50.00%,0.0,0.0,2.0
Czech Republic,BOSNIA AND HERZEGOVINA,SARAJEVO,104.0,104.0,30,28.80%,0.0,0.0,104.0
Czech Republic,BRAZIL,BRASILIA,4.0,4.0,0,0,0.0,0.0,4.0
Czech Republic,BRAZIL,SAO PAULO,21.0,19.0,2,10.50%,2.0,0.09523809523809523,21.0
Czech Republic,BULGARIA,SOFIA,144.0,135.0,63,46.70%,9.0,0.0625,144.0
Czech Republic,CANADA,OTTAWA,92.0,92.0,23,25.00%,0.0,0.0,92.0
Czech Republic,CANADA,TORONTO,392.0,391.0,52,13.30%,1.0,0.002551020408163265,392.0
Czech Republic,CHILE,SANTIAGO DE CHILE,6.0,6.0,1,16.70%,0.0,0.0,6.0
Czech Republic,CHINA,BEIJING,67330.0,65229.0,6063,9.30%,2099.0,0.031175736692015208,67328.0
Czech Republic,CHINA,CHENGDU,19267.0,18941.0,1403,7.40%,326.0,0.01692012248923029,19267.0
Czech Republic,CHINA,SHANGHAI,35628.0,34715.0,2449,7.10%,913.0,0.025625912203884584,35628.0
Czech Republic,COLOMBIA,BOGOTA,5.0,5.0,3,60.00%,0.0,0.0,5.0
Czech Republic,CROATIA,ZAGREB,64.0,63.0,37,58.70%,1.0,0.015625,64.0
Czech Republic,CUBA,HAVANA,415.0,336.0,38,11.30%,79.0,0.19036144578313252,415.0
Czech Republic,EGYPT,CAIRO,2710.0,2015.0,433,21.50%,693.0,0.25590841949778437,2708.0
Czech Republic,ETHIOPIA,ADDIS ABEBA,235.0,132.0,22,16.70%,103.0,0.43829787234042555,235.0
Czech Republic,GEORGIA,TBILISSI,273.0,213.0,20,9.40%,60.0,0.21978021978021978,273.0
Czech Republic,GERMANY,BERLIN,2.0,2.0,2,100.00%,0.0,0.0,2.0
Czech Republic,GHANA,ACCRA,758.0,362.0,71,19.60%,396.0,0.5224274406332454,758.0
Czech Republic,GREECE,ATHENS,0.0,0.0,0,0,0.0,,0.0
Czech Republic,HONG KONG S.A.R.,HONG KONG,473.0,471.0,66,14.00%,2.0,0.004228329809725159,473.0
Czech Republic,INDIA,NEW DELHI,26683.0,20449.0,2035,10.00%,6219.0,0.2332008399580021,26668.0
Czech Republic,INDONESIA,JAKARTA,1628.0,1619.0,303,18.70%,7.0,0.004305043050430504,1626.0
Czech Republic,IRAN,TEHERAN,4220.0,1954.0,261,13.40%,2264.0,0.5367472735893789,4218.0
Czech Republic,IRAQ,BAGHDAD,365.0,347.0,125,36.00%,16.0,0.0440771349862259,363.0
Czech Republic,IRAQ,ERBIL,145.0,85.0,24,28.20%,60.0,0.41379310344827586,145.0
Czech Republic,IRELAND,DUBLIN,346.0,345.0,95,27.50%,1.0,0.002890173410404624,346.0
Czech Republic,ISRAEL,TEL AVIV,691.0,662.0,126,19.00%,29.0,0.041968162083936326,691.0
Czech Republic,JAPAN,TOKYO,345.0,345.0,31,9.00%,0.0,0.0,345.0
Czech Republic,JORDAN,AMMAN,1847.0,1495.0,309,20.70%,346.0,0.18794133623030962,1841.0
Czech Republic,KAZAKHSTAN,ASTANA,16924.0,16554.0,2194,13.30%,352.0,0.020821010292203953,16906.0
Czech Republic,KENYA,NAIROBI,355.0,314.0,87,27.70%,41.0,0.11549295774647887,355.0
Czech Republic,KUWAIT,KUWAIT,4820.0,4699.0,4109,87.40%,120.0,0.02490143183233036,4819.0
Czech Republic,LEBANON,BEIRUT,5502.0,4814.0,1446,30.00%,687.0,0.12488638429376477,5501.0
Czech Republic,MALAYSIA,KUALA LUMPUR,434.0,244.0,45,18.40%,189.0,0.43648960739030024,433.0
Czech Republic,MEXICO,MEXICO CITY,87.0,82.0,6,7.30%,2.0,0.023809523809523808,84.0
Czech Republic,MOLDOVA,CHISINAU,1628.0,1616.0,29,1.80%,12.0,0.007371007371007371,1628.0
Czech Republic,MONGOLIA,ULAN BATOR,2755.0,2301.0,230,10.00%,454.0,0.1647912885662432,2755.0
Czech Republic,MOROCCO,RABAT,628.0,423.0,156,36.90%,205.0,0.32643312101910826,628.0
Czech Republic,NIGERIA,ABUJA,548.0,336.0,130,38.70%,210.0,0.38461538461538464,546.0
Czech Republic,NORTH KOREA,PYONGYANG,6.0,6.0,0,0,0.0,0.0,6.0
Czech Republic,NORTH MACEDONIA,SKOPJE,298.0,105.0,75,71.40%,193.0,0.6476510067114094,298.0
Czech Republic,PAKISTAN,ISLAMABAD,655.0,248.0,27,10.90%,407.0,0.6213740458015267,655.0
Czech Republic,PERU,LIMA,73.0,66.0,9,13.60%,7.0,0.0958904109589041,73.0
Czech Republic,PHILIPPINES,MANILA,2663.0,2330.0,399,17.10%,333.0,0.12504693954187007,2663.0
Czech Republic,POLAND,WARSAW,7.0,7.0,3,42.90%,0.0,0.0,7.0
Czech Republic,ROMANIA,BUCHAREST,359.0,334.0,23,6.90%,25.0,0.06963788300835655,359.0
Czech Republic,RUSSIAN FEDERATION,MOSCOW,209747.0,207360.0,97830,47.20%,2386.0,0.011375663898238823,209746.0
Czech Republic,RUSSIAN FEDERATION,ST. PETERSBURG,10090.0,10063.0,4882,48.50%,27.0,0.0026759167492566896,10090.0
Czech Republic,RUSSIAN FEDERATION,YEKATERINBURG,24553.0,24474.0,8437,34.50%,78.0,0.003176930596285435,24552.0
Czech Republic,SAUDI ARABIA,RIYADH,13834.0,13248.0,11653,88.00%,586.0,0.04235940436605465,13834.0
Czech Republic,SENEGAL,DAKAR,145.0,66.0,6,9.10%,77.0,0.5384615384615384,143.0
Czech Republic,SERBIA,BELGRADE,2098.0,2087.0,1941,93.00%,11.0,0.005243088655862726,2098.0
Czech Republic,SLOVAKIA,BRATISLAVA,31.0,31.0,14,45.20%,0.0,0.0,31.0
Czech Republic,SOUTH AFRICA,PRETORIA,4101.0,4023.0,2995,74.40%,78.0,0.019019751280175568,4101.0
Czech Republic,SOUTH KOREA,SEOUL,130.0,127.0,5,3.90%,3.0,0.023076923076923078,130.0
Czech Republic,SPAIN,MADRID,11.0,11.0,10,90.90%,0.0,0.0,11.0
Czech Republic,SWEDEN,STOCKHOLM,1.0,1.0,0,0,0.0,0.0,1.0
Czech Republic,SYRIA,DAMASCUS,110.0,105.0,71,67.60%,2.0,0.018691588785046728,107.0
Czech Republic,TAIWAN,TAIPEI,62.0,61.0,9,14.80%,1.0,0.016129032258064516,62.0
Czech Republic,THAILAND,BANGKOK,10679.0,10568.0,57,0.50%,111.0,0.010394231669631987,10679.0
Czech Republic,TUNISIA,TUNIS,973.0,608.0,92,15.10%,340.0,0.35864978902953587,948.0
Czech Republic,TURKEY,ANKARA,11477.0,11030.0,6586,59.70%,444.0,0.038696182673871364,11474.0
Czech Republic,TURKEY,ISTANBUL,10307.0,9589.0,848,8.80%,718.0,0.0696613951683322,10307.0
Czech Republic,UKRAINE,KYIV,53212.0,50409.0,1935,3.80%,2801.0,0.05264048111257282,53210.0
Czech Republic,UKRAINE,LVIV,66795.0,64622.0,992,1.50%,2172.0,0.03251789082851753,66794.0
Czech Republic,UNITED ARAB EMIRATES,ABU DHABI,9980.0,7809.0,2458,31.50%,2165.0,0.21706436735512333,9974.0
Czech Republic,UNITED KINGDOM,LONDON,2283.0,2264.0,579,25.60%,19.0,0.008322382829610162,2283.0
Czech Republic,USA,"CHICAGO, IL",371.0,371.0,29,7.80%,0.0,0.0,371.0
Czech Republic,USA,"LOS ANGELES, CA",500.0,496.0,66,13.30%,4.0,0.008,500.0
Czech Republic,USA,"NEW YORK, NY",771.0,771.0,176,22.80%,0.0,0.0,771.0
Czech Republic,USA,"WASHINGTON, DC",489.0,488.0,147,30.10%,1.0,0.002044989775051125,489.0
Czech Republic,UZBEKISTAN,TASHKENT,2947.0,2371.0,203,8.60%,576.0,0.19545300305395316,2947.0
Czech Republic,VIETNAM,HANOI,1359.0,868.0,14,1.60%,491.0,0.3612950699043414,1359.0
Czech Republic,ZAMBIA,LUSAKA,42.0,33.0,11,33.30%,7.0,0.175,40.0
Denmark,AFGHANISTAN,KABUL,61.0,50.0,3,6.00%,2.0,0.038461538461538464,52.0
Denmark,AUSTRALIA,SYDNEY,700.0,674.0,301,44.70%,7.0,0.010279001468428781,681.0
Denmark,AUSTRIA,VIENNA,12.0,10.0,9,90.00%,0.0,0.0,10.0
Denmark,BANGLADESH,DHAKA,1577.0,1324.0,156,11.80%,224.0,0.14470284237726097,1548.0
Denmark,BELGIUM,BRUSSELS,11.0,9.0,1,11.10%,0.0,0.0,9.0
Denmark,BULGARIA,SOFIA,50.0,38.0,30,78.90%,2.0,0.05,40.0
Denmark,BURKINA FASO,OUAGADOUGOU,215.0,181.0,60,33.10%,26.0,0.12560386473429952,207.0
Denmark,CANADA,OTTAWA,2755.0,2602.0,859,33.00%,57.0,0.021436630312147424,2659.0
Denmark,CHINA,BEIJING,13726.0,13150.0,2957,22.50%,368.0,0.02722296197662376,13518.0
Denmark,CHINA,GUANGZHOU (CANTON),15224.0,14937.0,2009,13.40%,210.0,0.013864131511190335,15147.0
Denmark,CHINA,SHANGHAI,17314.0,16487.0,3870,23.50%,428.0,0.025302985515814367,16915.0
Denmark,DENMARK,COPENHAGEN,748.0,720.0,226,31.40%,7.0,0.009628610729023384,727.0
Denmark,EGYPT,CAIRO,1789.0,1542.0,763,49.50%,238.0,0.13370786516853933,1780.0
Denmark,ETHIOPIA,ADDIS ABEBA,374.0,297.0,97,32.70%,70.0,0.1907356948228883,367.0
Denmark,FINLAND,HELSINKI,18.0,15.0,1,6.70%,0.0,0.0,15.0
Denmark,FRANCE,PARIS,22.0,19.0,5,26.30%,1.0,0.05,20.0
Denmark,GERMANY,BERLIN,18.0,17.0,7,41.20%,0.0,0.0,17.0
Denmark,GERMANY,FLENSBURG,21.0,19.0,19,100.00%,1.0,0.05,20.0
Denmark,GHANA,ACCRA,2705.0,1185.0,531,44.80%,1385.0,0.5389105058365758,2570.0
Denmark,GREECE,ATHENS,3.0,3.0,1,33.30%,0.0,0.0,3.0
Denmark,HUNGARY,BUDAPEST,3.0,2.0,2,100.00%,0.0,0.0,2.0
Denmark,ICELAND,REYKJAVIK,88.0,88.0,18,20.50%,0.0,0.0,88.0
Denmark,INDIA,NEW DELHI,23274.0,21890.0,18884,86.30%,949.0,0.041551731687026576,22839.0
Denmark,INDONESIA,JAKARTA,4408.0,4369.0,2954,67.60%,35.0,0.007947320617620345,4404.0
Denmark,IRAN,TEHERAN,2937.0,2012.0,762,37.90%,851.0,0.29724065665385957,2863.0
Denmark,IRELAND,DUBLIN,848.0,820.0,187,22.80%,1.0,0.001218026796589525,821.0
Denmark,ISRAEL,TEL AVIV,305.0,280.0,58,20.70%,31.0,0.09967845659163987,311.0
Denmark,ITALY,ROME,10.0,7.0,6,85.70%,3.0,0.3,10.0
Denmark,JAPAN,TOKYO,321.0,321.0,27,8.40%,2.0,0.006191950464396285,323.0
Denmark,KENYA,NAIROBI,1656.0,1363.0,306,22.50%,203.0,0.12962962962962962,1566.0
Denmark,LATVIA,RIGA,9.0,7.0,1,14.30%,1.0,0.125,8.0
Denmark,LEBANON,BEIRUT,1498.0,1009.0,495,49.10%,485.0,0.3246318607764391,1494.0
Denmark,MALAYSIA,KUALA LUMPUR,440.0,354.0,136,38.40%,76.0,0.17674418604651163,430.0
